hotel_name,city,state,property_type,star_rating,review_rating,review_count,price,distance_to_landmark_km,nearest_landmark,has_wifi,has_parking,has_pool,has_ac,has_breakfast,has_fitness_center,has_spa,has_restaurant,has_bar,pet_friendly,kid_friendly,wheelchair_accessible,has_hot_tub,has_airport_shuttle,has_room_service,source_dataset
Crowne Plaza Kochi,kochi,Kerala,Hotel,5.0,4.6,,8854.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Trident Hotel Cochin,kochi,Kerala,Hotel,5.0,4.5,,6441.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
The Galaxy Suites,kochi,Kerala,Apartment,,3.8,,831.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
The Renai cochin,kochi,Kerala,Hotel,4.0,4.2,,2768.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Ramada by Wyndham Kochi,kochi,Kerala,Hotel,5.0,4.5,,8938.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
The Renai cochin,kochi,Kerala,Hotel,4.0,4.2,,2768.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
"Radisson Blu Hotel, Kochi",kochi,Kerala,Hotel,5.0,4.3,,6061.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
"Holiday Inn Cochin, an IHG Hotel",kochi,Kerala,Hotel,5.0,4.4,,5689.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
OAK FIELD INN,kochi,Kerala,Hotel,,3.8,,819.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,google
Grand Hyatt Kochi Bolgatty,kochi,Kerala,Hotel,5.0,4.7,,14282.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Hotel South Gate Residency,kochi,Kerala,Hotel,3.0,3.9,,1051.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,google
Cherai Beach Resorts,kochi,Kerala,Hotel,3.0,3.9,,3281.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
North Centre Hotel,kochi,Kerala,Hotel,3.0,4.7,,1118.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,google
Boche Island - Kumbalangi,kochi,Kerala,Hotel,3.0,4.1,,5855.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,google
Trident Hotel Cochin,kochi,Kerala,Hotel,5.0,4.5,,5406.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
"Nihara Resort & Spa, Kadamakudy Island, Kochi",kochi,Kerala,Hotel,4.0,4.3,,4692.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Ayurjani Ayurvedics,kochi,Kerala,Hotel,,4.2,,896.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Niko Hotels,kochi,Kerala,Hotel,3.0,4.6,,2073.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Crowne Plaza Kochi,kochi,Kerala,Hotel,5.0,4.6,,8776.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
The Gateway Hotel Marine Drive Ernakulam,kochi,Kerala,Hotel,5.0,4.3,,7252.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Napier Heritage Fort Kochi,kochi,Kerala,Hotel,,4.5,,3808.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
"Radisson Blu Hotel, Kochi",kochi,Kerala,Hotel,5.0,4.3,,6039.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Maurya Rajadhani,trivandrum,Kerala,Hotel,4.0,4.0,,2812.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,google
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",trivandrum,Kerala,Hotel,4.0,3.8,,2898.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Montecello Home Stay,trivandrum,Kerala,Hotel,,3.2,,643.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,google
HOTEL HIGHLAND,trivandrum,Kerala,Hotel,3.0,4.0,,1350.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Ariya Nivaas - A Vegetarian Hotel,trivandrum,Kerala,Hotel,2.0,4.2,,2401.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,google
PLANET RESIDENCY,trivandrum,Kerala,Hotel,,4.5,,1263.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Saras Park Inn,trivandrum,Kerala,Hotel,2.0,3.4,,875.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,google
Stayzone Royal INN,trivandrum,Kerala,Hotel,,3.7,,909.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,google
Hotel Prathiba Heritage,trivandrum,Kerala,Hotel,,3.7,,956.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,google
Adara Residency,trivandrum,Kerala,Hotel,,4.3,,1616.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Hotel Venkateswara,trivandrum,Kerala,Hotel,3.0,3.7,,1347.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Hilton Garden Inn Trivandrum,trivandrum,Kerala,Hotel,5.0,4.3,,6837.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
